function,cycles,pct,wall_ns,calls,cyc_per_call
read_adc_lines,17594184,14.6032,2932364000.0,48354,363.9
map_div_loop,6946536,5.7656,1157756000.0,84150,82.5
ign_dwell_1,6671664,5.5375,1111944000.0,225156,29.6
ex1_int_j,5612088,4.6580,935348000.0,226852,24.7
inc_rpm_cnt1,5409168,4.4896,901528000.0,225229,24.0
label9,5319324,4.4150,886554000.0,218158,24.4
inr_get_map_addr,5103108,4.2356,850518000.0,29038,175.7
ex1_reti6,3604140,2.9914,600690000.0,76110,47.4
shiftleft24_2,3147264,2.6122,524544000.0,35109,89.6
Get_Map_Addr,3026232,2.5118,504372000.0,38933,77.7
ex1int,2703936,2.2443,450656000.0,225229,12.0
label10,2675616,2.2208,445936000.0,14044,190.5
label14,2621676,2.1760,436946000.0,6410,409.0
get_map_a2,2234520,1.8547,372420000.0,23307,95.9
mult16x16,2113572,1.7543,352262000.0,12534,168.6
ign_dwell_2,1879992,1.5604,313332000.0,16518,113.8
mult8x16,1631304,1.3540,271884000.0,12154,134.2
shiftleft24,1447632,1.2015,241272000.0,30381,47.6
div16_1,1261176,1.0468,210196000.0,15467,81.5
label109,1221132,1.0135,203522000.0,16786,72.7
3D_Map_jmp,1199088,0.9952,199848000.0,37640,31.9
Get_Map_val,1152024,0.9562,192004000.0,34199,33.7
map_val_intrplte,959868,0.7967,159978000.0,16779,57.2
get_map_a1,901080,0.7479,150180000.0,17657,51.0
addr1090,872964,0.7246,145494000.0,16252,53.7
map_lookup_clean,868488,0.7208,144748000.0,15425,56.3
interp_signed_mul,868320,0.7207,144720000.0,10074,86.2
MapAddr_DPTR,862896,0.7162,143816000.0,15373,56.1
afmtxtable3,776928,0.6448,129488000.0,11120,69.9
ref_resync,743628,0.6172,123938000.0,8255,90.1
label24,725364,0.6021,120894000.0,6235,116.3
fetch11E0,693300,0.5754,115550000.0,14879,46.6
fetch1090,689244,0.5721,114874000.0,14499,47.5
label47,670668,0.5567,111778000.0,3802,176.4
label128,643176,0.5338,107196000.0,9924,64.8
crank_edge,633156,0.5255,105526000.0,4910,129.0
label23,600720,0.4986,100120000.0,4994,120.3
div16_2,597132,0.4956,99522000.0,13740,43.5
3DMap,585720,0.4861,97620000.0,8830,66.3
loadtimer1,583848,0.4846,97308000.0,4496,129.9
label123,564180,0.4683,94030000.0,9469,59.6
label64,555504,0.4611,92584000.0,7674,72.4
clamp1,465216,0.3861,77536000.0,4205,110.6
ex1_reti1,458040,0.3802,76340000.0,9100,50.3
label30,435084,0.3611,72514000.0,5033,86.4
label63,406032,0.3370,67672000.0,7223,56.2
airflow_calc,402528,0.3341,67088000.0,2610,154.2
label660,397116,0.3296,66186000.0,2558,155.2
label114,386316,0.3206,64386000.0,5952,64.9
linear_lookup,385236,0.3197,64206000.0,11807,32.6
label80,370104,0.3072,61684000.0,4125,89.7
map_lookup,346872,0.2879,57812000.0,14012,24.8
label658,337872,0.2804,56312000.0,2415,139.9
label256,337356,0.2800,56226000.0,2406,140.2
label17,333168,0.2765,55528000.0,6958,47.9
inc_rpm_cnt2,333144,0.2765,55524000.0,6938,48.0
ex0int_j,329976,0.2739,54996000.0,5172,63.8
label103,317820,0.2638,52970000.0,6929,45.9
label28,313800,0.2605,52300000.0,1891,165.9
speed_sensor_isr,313584,0.2603,52264000.0,3582,87.5
label129,293100,0.2433,48850000.0,3596,81.5
label235,274656,0.2280,45776000.0,2924,93.9
fire_inj,271404,0.2253,45234000.0,1889,143.7
t1int_tar,252960,0.2100,42160000.0,3520,71.9
fuel_calc,238152,0.1977,39692000.0,3386,70.3
crank_sync_loop,232968,0.1934,38828000.0,4858,48.0
div16,228300,0.1895,38050000.0,9403,24.3
label18,226104,0.1877,37684000.0,553,408.9
lowpass24,222888,0.1850,37148000.0,2106,105.8
label682,218940,0.1817,36490000.0,3628,60.3
t1int_tar_2,211008,0.1751,35168000.0,3520,59.9
send_diags_p2,198624,0.1649,33104000.0,2078,95.6
label662,198468,0.1647,33078000.0,2062,96.3
label16,198300,0.1646,33050000.0,553,358.6
label239,198228,0.1645,33038000.0,2015,98.4
isv_pt_or_wot,194616,0.1615,32436000.0,2755,70.6
label62,185628,0.1541,30938000.0,2445,75.9
pulse_sync,177060,0.1470,29510000.0,15,11804.0
label292,174588,0.1449,29098000.0,4857,35.9
label276,172788,0.1434,28798000.0,2064,83.7
write_rpm_37,168528,0.1399,28088000.0,1761,95.7
label13,166632,0.1383,27772000.0,6936,24.0
klr_out_dly,166224,0.1380,27704000.0,3463,48.0
Get_Map_val_ret1,163464,0.1357,27244000.0,6705,24.4
ign_out_to_klr,158796,0.1318,26466000.0,1981,80.2
label25,153144,0.1271,25524000.0,3196,47.9
label32,145128,0.1205,24188000.0,1732,83.8
map_div,144324,0.1198,24054000.0,10045,14.4
fuel_pump_on2,144252,0.1197,24042000.0,5039,28.6
loop_for_int1_0,143148,0.1188,23858000.0,3627,39.5
read_adc_proc,140244,0.1164,23374000.0,1983,70.7
mult16x16_shift,138504,0.1150,23084000.0,4890,28.3
afmtxtable2a,135708,0.1126,22618000.0,1815,74.8
afmtxtable2,135660,0.1126,22610000.0,1803,75.2
check_time_left,135180,0.1122,22530000.0,5468,24.7
label27,124812,0.1036,20802000.0,1753,71.2
label48,123792,0.1027,20632000.0,3491,35.5
label46,122904,0.1020,20484000.0,1707,72.0
label289,116880,0.0970,19480000.0,4842,24.1
inj_pulse,116700,0.0969,19450000.0,4756,24.5
afmtxtable1,116496,0.0967,19416000.0,1766,66.0
label413,114696,0.0952,19116000.0,3180,36.1
variant_map_select,113652,0.0943,18942000.0,1357,83.8
slow_fuel_cut,112740,0.0936,18790000.0,3116,36.2
