"'h00,""NOP"""
"'h01,""Illegal"""
"'h02,""OUTL BUS,A"""
"'h03,""ADD A, #data"""
"'h04,""JMP Page+0x0"""
"'h05,""EN I"""
"'h06,""Unknown"""
"'h07,""DEC A"""
"'h08,""INS A, BUS"""
"'h09,""OUTL P1,A"""
"'h0A,""OUTL P2,A"""
"'h0B,""OUTL P3,A"""
"'h0C,""MOVD A,P4"""
"'h0D,""MOVD A,P5"""
"'h0E,""MOVD A,P6"""
"'h0F,""MOVD A,P7"""
"'h10,""INC @R0"""
"'h11,""INC @R1"""
"'h12,""JB0"""
"'h13,""ADDC A, #data"""
"'h14,""CALL Page+0x0"""
"'h15,""DIS I"""
"'h16,""JTF"""
"'h17,""INC A"""
"'h18,""INC R0"""
"'h19,""INC R1"""
"'h1A,""INC R2"""
"'h1B,""INC R3"""
"'h1C,""INC R4"""
"'h1D,""INC R5"""
"'h1E,""INC R6"""
"'h1F,""INC R7"""
"'h20,""XCH A,@R0"""
"'h21,""XCH A,@R1"""
"'h22,""Unknown"""
"'h23,""MOV A, #data"""
"'h24,""JMP Page+0x1"""
"'h25,""EN TCNTI"""
"'h26,""JNT0"""
"'h27,""RR A"""
"'h28,""XCH A,R0"""
"'h29,""XCH A,Rr"""
"'h2A,""XCH A,R2"""
"'h2B,""XCH A,R3"""
"'h2C,""XCH A,R4"""
"'h2D,""XCH A,R5"""
"'h2E,""XCH A,R6"""
"'h2F,""XCH A,R7"""
"'h30,""XCHD A, @01"""
"'h31,""XCHD A, @R1"""
"'h32,""JB1"""
"'h33,""Unknown"""
"'h34,""CALL Page+0x1"""
"'h35,""Illegal"""
"'h36,""JT0"""
"'h37,""XCH A, R7"""
"'h38,""OUTL BUS,A"""
"'h39,""OUTL P1,A"""
"'h3A,""OUTL P2,A"""
"'h3B,""OUTL P3,A"""
"'h3C,""MOVD P4, A"""
"'h3D,""MOVD P5, A"""
"'h3E,""MOVD P6, A"""
"'h3F,""MOVD P7, A"""
"'h40,""ORL A, @R0"""
"'h41,""ORL A, @R1"""
"'h42,""MOV A, T"""
"'h43,""ORL A, #data"""
"'h44,""JMP Page+0x2"""
"'h45,""STRT CNT"""
"'h46,""JNT1"""
"'h47,""SWAP A"""
"'h48,""ORL A, R0"""
"'h49,""ORL A, R1"""
"'h4a,""ORL A, R2"""
"'h4b,""ORL A, R3"""
"'h4c,""ORL A, R4"""
"'h4d,""ORL A, R5"""
"'h4e,""ORL A, R6"""
"'h4f,""ORL A, R7"""
"'h50,""ANL A, @R0"""
"'h51,""ANL A, @Ra"""
"'h52,""JB2"""
"'h53,""ANL A, #data"""
"'h54,""CALL Page+0x2"""
"'h55,""STRT T"""
"'h56,""JT1"""
"'h57,""DA A"""
"'h58,""ANL A, R0"""
"'h59,""ANL A, R1"""
"'h5a,""ANL A, R2"""
"'h5b,""ANL A, R3"""
"'h5c,""ANL A, R4"""
"'h5d,""ANL A, R5"""
"'h5e,""ANL A, R6"""
"'h5f,""ANL A, R7"""
"'h60,""ADD A,@R0"""
"'h61,""ADD A,@R1"""
"'h62,""MOV T, A"""
"'h63,""Unknown"""
"'h64,""JMP Page+0x3"""
"'h65,""STOP TCNT"""
"'h66,""Unknown"""
"'h67,""RRC A"""
"'h68,""ADD A, R0"""
"'h69,""ADD A, R1"""
"'h6a,""ADD A, R2"""
"'h6b,""ADD A, R3"""
"'h6c,""ADD A, R4"""
"'h6d,""ADD A, R5"""
"'h6e,""ADD A, R6"""
"'h6f,""ADD A, R7"""
"'h70,""ADDC A, @R0"""
"'h71,""ADDC A, @R1"""
"'h72,""JB3"""
'h73
"'h74,""CALL Page+0x3"""
"'h75,""ENT0 CLK"""
"'h76,""JF1 addr"""
"'h77,""RR A"""
"'h78,""ADDC A, R0"""
"'h79,""ADDC A, R1"""
"'h7a,""ADDC A, R2"""
"'h7b,""ADDC A, R3"""
"'h7c,""ADDC A, R4"""
"'h7d,""ADDC A, R5"""
"'h7e,""ADDC A, R6"""
"'h7f,""ADDC A, R7"""
"'h80,""MOVX A, @R0"""
"'h81,""MOVX A, @R1"""
"'h82,""Illegal"""
"'h83,""RET"""
"'h84,""JMP Page+0x4"""
"'h85,""CLR F1"""
"'h86,""JNI Address"""
"'h87.""Illegal"""
"'h88,""ORL BUS, #data"""
"'h89,""ORL P1, #data"""
"'h8A,""ORL P2, #data"""
"'h8B,""ORL P3, #data"""
"'h8C,""ORLD P0, A"""
"'h8D,""ORLD P1, A"""
"'h8E,""ORLD P2, A"""
"'h8F,""ORLD P4, A"""
"'h90,""MOVX @R0, A"""
"'h91,""MOVX @R1, A"""
"'h92,""JB4"""
"'h93,""RETR"""
"'h94,""CALL Page+0x4"""
"'h95,""CPL F0"""
"'h96,""JNZ"""
"'h97,""CLR C"""
"'h98,""ANL BUS, #data"""
"'h99,""ANL P1, #data"""
";h9A,""ANL P2, #data"""
"'h9B,,""ANL P3, #data"""
"'h9C,""ANLD P0, A"""
"'h9D,""ANLD P1, A"""
"'h9E,""ANLD P2, A"""
"'h9F,""ANLD P3, A"""
"'hA0,""MOV @R0, A"""
"'hA1,""MOV @R1, A"""
"'hA2,""Unknown"""
"'hA3,""MOVP A,@A"""
"'hA4,""JMP Page+0x5"""
"'hA5,:Unknown"""
