'h03,"ADD A, #data"
'h07,"DEC A"
'h17,"INC A"
'h27,"RR A"
'h37,"XCH A, R7"
'h43,"ORL A, #data"
'h47,"SWAP A"
'h53,"ANL A, #data"
'h67,"RRC A"
'h77,"RR A"
'hD3,"XRL A, #data"
'hF7,"RLC A"
'h23,"MOV A, #data"
'h42,"MOV A, T"
'h62,"MOV T, A"
'hA0,"MOV @R0, A"
'hA1,"MOV @R1, A"
'hA8,"MOV R0, A"
'hA9,"MOV R1, A"
'hAA,"MOV R2, A"
'hAB,"MOV R3, A"
'hAC,"MOV R4, A"
'hAD,"MOV R5, A"
'hAE,"MOV R6, A"
'hAF,"MOV R7, A"
'hB0,"MOV @R0, #data"
'hB1,"MOV @R1, #data"
'hF0,"MOV A, @R0"
'hF1,"MOV A, @R1"
'hF8,"MOV A, R0"
'hF9,"MOV A, R1"
'hFA,"MOV A, R2"
'hFB,"MOV A, R3"
'hFC,"MOV A, R4"
'hFD,"MOV A, R5"
'hFE,"MOV A, R6"
'hFF,"MOV A, R7"
'h80,"MOVX A, @R0"
'h81,"MOVX A, @R1"
'h90,"MOVX @R0, A"
'h91,"MOVX @R1, A"
'h12,"JB0"
'h32,"JB1"
'h52,"JB2"
'h72,"JB3"
'h92,"JB4"
'hA2,"JB5"
'hD2,"JB6"
'hF2,"JB7"
'h16,"JTF"
'h26,"JNT0"
'h36,"JT0"
'h46,"JNT1"
'h56,"JT1"
'hB6,"JF0"
'hC6,"JZ"
'h96,"JNZ"
'hF6,"JC"
'hE6,"JNC"
'h83,"RET"
'h93,"RETR"
'hA3,"MOVP / MOVP3"
'h05,"EN I"
'h89,"ORL P1, #data"
'h8A,"ORL P2, #data"
'h99,"ANL P1, #data"
'h9A,"ANL P2, #data"
'h45,"STRT CNT"
'h55,"STRT T"
'h65,"STOP TCNT"
'h57,"DA A"
'h97,"CLR C"
'hA7,"CPL C"
'h09,"OUTL P1,A"
'h15,"DIS I"
'h25,"EN TCNTI"
'h85,"CLR F1"
'hB5,"CPL F1"
'h95,"CPL F0"
'hC5,"SEL RB0"
'hD5,"SEL RB1"
'hE5,"SEL MB0"
'hF5,"SEL MB1"
'h10,"INC @R0"
'h11,"INC @R1"
'h20,"XCH A,@R0"
'h21,"XCH A,@R1"
'h28,"XCH A,R0"
'h29,"XCH A,Rr"
'h2A,"XCH A,R2"
'h2B,"XCH A,R3"
'h2C,"XCH A,R4"
'h2D,"XCH A,R5"
'h2E,"XCH A,R6"
'h2F,"XCH A,R7"
'h30,"XCHD A, @01"
'h31,"XCHD A, @R1"
'h60,"ADD A,@R0"
'h61,"ADD A,@R1"
'hB8,"MOV R0, #data"
'hB9,"MOV R1, #data"
'hBA,"MOV R2, #data"
'hBB,"MOV R3, #data"
'hBC,"MOV R4, #data"
'hBD,"MOV R5, #data"
'hBE,"MOV R6, #data"
'hBF,"MOV R7, #data"
'h18,"INC R0"
'h19,"INC R1"
'h1A,"INC R2"
'h1B,"INC R3"
'h1C,"INC R4"
'h1D,"INC R5"
'h1E,"INC R6"
'h1F,"INC R7"
'hC8,"DEC R0"
'hC9,"DEC R1"
'hCA,"DEC R2"
'hCB,"DEC R3"
'hCC,"DEC R4"
'hCD,"DEC R5"
'hCE,"DEC R6"
'hCF,"DEC R7"
'h04,"CALL Page+0x0"
'h24,"CALL Page+0x1"
'h44,"CALL Page+0x2"
'h64,"CALL Page+0x3"
'h84,"CALL Page+0x4"
'hA4,"CALL Page+0x5"
'hC4,"CALL Page+0x6"
'hE4,"CALL Page+0x7"
'hE8,"DJNZ R0, address"
'hE9,"DJNZ R1, address"
'hEA,"DJNZ R2, address"
'hEB,"DJNZ R3, address"
'hEC,"DJNZ R4, address"
'hED,"DJNZ R5, address"
'hEE,"DJNZ R6, address"
'hEF,"DJNZ R7, address"
